说,202
：,201
，,193
的,126
车主,102
技师,100
是,60
了,50
这个,38
。,37
有,34
你,28
！,27
不,26
就是,23
吗,22
？,22
问题,21
需要,21
就,20
没有,19
变速箱,18
如果,17
可以,17
机油,17
发动机,17
在,16
也,16
都,15
节气门,15
我,14
换,14
轮胎,14
要,13
你好,13
正常,13
冲击,12
变速器,12
吧,12
还是,11
车子,11
的话,11
一样,11
故障,10
一般,10
多少,10
匹配,10
好,10
有没有,9
对,9
螺丝,9
什么,9
、,9
到,9
后,9
维修,8
或者,8
比较,8
和,8
换挡,8
上,8
密码,8
是不是,8
油,8
油封,8
一下,8
更换,8
可能,7
这,7
感,7
谢谢,7
电脑,7
价格,7
车型,7
音响,7
那,7
行驶,7
情况,7
位,6
重,6
呢,6
大,6
愉快,6
用车,6
他,6
没,6
钱,6
检查,6
车,6
客气,6
从,5
年,5
能,5
抖动,5
希望,5
漏油,5
开机,5
检查一下,5
应该,5
出现,5
把,5
不是,5
程序,5
拆,5
不要,5
这种,5
嗯,5
做,5
-,5
跑,5
知道,5
自己,5
4,5
帮到,5
车辆,5
修理厂,5
启动,5
原地,5
重新,4
才能,4
车况,4
您,4
防盗,4
踩,4
两个,4
刹车,4
哪里,4
修,4
绿色,4
请问,4
公里,4
进行,4
师傅,4
不会,4
方向机,4
N,4
缺少,4
会,4
等,4
前轮,4
?,4
哪个,4
使用,4
还有,4
左右,4
出来,4
外面,4
造成,4
这样,4
感觉,4
一轴,4
防冻液,4
换油,3
所以,3
值,3
祝您,3
里面,3
适应,3
清除,3
坏,3
现在,3
烧,3
只是,3
拆下来,3
升级,3
怎么,3
老款,3
清洗,3
助力,3
着,3
D,3
泵,3
味,3
购买,3
350,3
新,3
变矩器,3
找,3
用,3
维修保养,3
所有,3
润滑,3
入手,3
机,3
看,3
干净,3
先,3
联系,3
紧,3
X1,3
建议,3
汽车,3
能够,3
祝,3
开始,3
时间,3
连接,3
有些,3
一点,3
直接,3
锁,3
手动挡,3
并,3
哦,3
有点,3
导致,3
因为,3
固定,3
地,3
影响,3
跟,3
闯动,3
异常,3
缸体,3
店,3
排气管,3
漏,3
突然,3
一些,3
之前,3
一个,3
偏低,2
如,2
磨损,2
简单,2
断电,2
排查,2
品牌,2
输入,2
怎样,2
解锁,2
自动,2
怠速,2
t,2
中间,2
位置,2
最好,2
旁边,2
下来,2
一次,2
那年,2
这边,2
1.6,2
已经,2
大概,2
具体,2
属于,2
汽油,2
费用,2
家庭,2
2012,2
拓号,2
号,2
看见,2
专用,2
去,2
滤芯,2
重置,2
之后,2
电源,2
电瓶,2
断开,2
是因为,2
阀体,2
暂时,2
3.0,2
万公里,2
容易,2
地方,2
用力,2
基本,2
不到,2
液压,2
条码,2
个,2
R,2
过,2
没力,2
亮,2
放,2
又,2
不行,2
灯,2
显示,2
失火,2
平衡,2
缺缸,2
怎么回事,2
以前,2
再,2
漏气,2
其他,2
动平衡,2
多,2
油灯,2
一股,2
生活,2
还,2
档,2
凸轮轴,2
原因,2
两升,2
排气,2
以上,2
奔驰,2
处理,2
随时,2
无,2
当地,2
轮离,2
保修期,2
款,2
怎么办,2
添加,2
帕萨特,2
一,2
调整,2
便宜,2
短路,2
贵,2
停车,2
快,2
面板,2
冒,2
看看,2
部件,2
胎面,2
声音,2
裂痕,2
完全,2
不用,2
担心,2
不能,2
液力,2
带,2
断,2
检测,2
单独,2
抖,2
报,2
内部,2
严重,2
主要,2
最,2
P,2
型号,2
伤害,2
钢圈,2
伴有,2
液位,2
只,2
右侧,1
照片,1
（,1
错误,1
V6,1
代码,1
不了,1
上方,1
稍,1
先前,1
太大传,1
发,1
模块,1
调节,1
靠近,1
看不到,1
啊,1
累人,1
客户,1
柴油,1
非常,1
很,1
倒车,1
点,1
还好,1
版,1
过户,1
人员,1
这车,1
专门,1
觉得,1
可是,1
这么,1
14,1
先拓,1
ML500,1
行车证,1
对下,1
解释,1
咋,1
牧马人,1
选,1
机换,1
电磁铁,1
向,1
助理,1
画个,1
圈圈,1
作动,1
第一个,1
作用,1
车升,1
泄压,1
油有,1
焦糊,1
底壳,1
是否,1
油液,1
挂,1
空档,1
先挂,1
N46,1
上架,1
吸气,1
自然,1
缸,1
这是,1
进口,1
2014,1
进本,1
轴头,1
限制,1
中到,1
档位,1
挡,1
遇到,1
松开,1
刹车踏板,1
时,1
第三,1
第二,1
标准,1
动,1
油位,1
第一,1
很小,1
绿灯,1
红灯,1
路口,1
红绿灯,1
一辆,1
重新学习,1
试,1
改变,1
2010,1
好坏,1
它,1
办法,1
关系,1
刷,1
问,1
重点,1
电磁阀,1
踩住,1
几个,1
断路,1
顿挫,1
导线,1
力,1
正极,1
）,1
通病,1
宝马,1
万多公里,1
PRND,1
12L,1
才,1
前后,1
估计,1
里,1
升降,1
一体,1
9.3,1
2011,1
6L45,1
昨天,1
通用,1
去试,1
排量,1
2.0,1
出厂,1
人,1
中,1
起来,1
开车,1
那天,1
气泡,1
盖出,1
水箱,1
高,1
水温,1
三,1
黑烟,1
二,1
”,1
啪啪,1
“,1
征兆,1
油丝坏,1
气囊,1
太贵,1
两三百,1
右后,1
胎扎,1
订,1
前面,1
君威,1
新款,1
您好,1
大师,1
脱落,1
胎,1
两条,1
未,1
补,1
以为,1
明显,1
时速,1
110,1
80,1
高速,1
胎后,1
一根,1
里线,1
方向盘,1
拆过,1
间隙,1
活塞环,1
大型,1
超出,1
内,1
抠,1
顺丝,1
法,1
气门,1
拧,1
那就是说,1
扳手,1
松,1
旋转,1
逆时针,1
反,1
过大,1
老化,1
店里,1
及时,1
喇叭,1
领域,1
元,1
50,1
抛光,1
超过,1
补充,1
时有,1
引起,1
报警,1
以便,1
备,1
后备箱,1
烧一升,1
7500,1
每,1
今晚,1
时候,1
专业,1
发动机舱,1
们,1
专家,1
绝对,1
来说,1
钢丝,1
但是,1
路面,1
由于,1
来看,1
裂纹,1
相应,1
根据,1
系统故障,1
入厂,1
拖车,1
解决办法,1
死,1
半月,1
打着,1
火,1
刚,1
以后,1
几秒钟,1
有个,1
大约,1
区别,1
听到,1
机械,1
久,1
运转,1
停放,1
一会,1
听,1
异响,1
分钟,1
来,1
十,1
抱,1
时会,1
否则,1
清理,1
颜色,1
加,1
少,1
发现,1
17000,1
T600,1
众泰,1
开,1
淘宝,1
编袋,1
方,1
缠到,1
关上,1
异味,1
没什么,1
烧焦,1
就行了,1
靠,1
常亮,1
今天,1
红色,1
有图,1
解决,1
害处,1
对车,1
一直,1
OIL,1
三次,1
谱,1
11500,1
锋驭,1
铃木,1
买错,1
挺,1
销量,1
嘛,1
拧下来,1
顺时针,1
那个,1
笼上,1
肯定,1
大不大,1
工程量,1
抬,1
变距器,1
机构,1
传动,1
还要,1
路由,1
拆开,1
就要,1
不少,1
过程,1
上面,1
拍,1
正中间,1
部位,1
离合器,1
分泵,1
刹车油,1
只要,1
同时,1
方便,1
短缺,1
渗油,1
往出,1
拆卸,1
不修,1
不管,1
得,1
第二个,1
曲轴,1
事,1
算不算,1
4S,1
确定,1
半天,1
科鲁兹,1
价格合理,1
价位,1
不高,1
买,1
媳妇,1
给,1
想,1
市场价,1
180,1
12,1
拥有,1
日期,1
值得,1
动力,1
怎么样,1
c180,1
左,1
举起,1
按,1
上户,1
个人,1
s,1
800,1
四,1
1500,1
六,1
钱换,1
合成,1
全,1
.,1
保养,1
一手,1
小,1
180k1.6,1
之间,1
万,1
16,1
15,1
查,1
隐患,1
损坏,1
动它,1
拿,1
朝阳,1
35,1
长安,1
卡子,1
卡扣,1
拆完,1
上边,1
圈,1
块钱,1
翘,1
新车,1
如图所示,1
翘出来,1
圈起来,1
中控,1
发个,1
意思,1
只换,1
Q35,1
回答,1
外球,1
远景,1
吉利,1
网购,1
卖,1
车胎,1
晓得,1
额额,1
皮皮,1
浮动,1
略有,1
地区,1
200,1
网上,1
而且,1
轮毂,1
拆装,1
昌河,1
像,1
设备,1
锁机,1
提示,1
锁止,1
功能,1
脏,1
头,1
才行,1
几次,1
下,1
重复,1
五秒,1
到底,1
油门,1
打开,1
或,1
我要,1
参考,1
比如,1
方法,1
找到,1
读取,1
可,1
后面,1
多媒体,1
解码,1
方面,1
稳,1
外壳,1
年份,1
本田,1
车系,1
大众,1
中高档,1
手册,1
要是,1
某些,1
好像,1
